Aceanthrylene;20
Acenaphth[1,2-a]anthracene;226
Acenaphth[1,2-b]anthracene;231
Acenaphthalene;7
Acenaphthene;8
Acenaphtho[1,2,3-cde]pyrene;158
Acenaphtho[1,2-b]phenanthrene;229
Acenaphtho[1,2-j]fluoranthene;256
Acenaphtho[1,2-k]cyclopenta[cd]fluoranthene;312
Acenaphtho[1,2-k]fluoranthene;257
13H-Acenaphtho[1,8-ab]phenanthrene;146
Acenaphthylene;7
Aceperylene;110
Acephenanthrene;19
Acepyrene;33
Acepyrylene;33
[6] Annulene;1
Anthanthrene;121
Anthra[1,2,3,4-rst]pentaphene;567
Anthra[1,2-a]aceanthrylene;322
Anthra[1,2-a]anthracene;277
Anthra[1,2-a]benz[j]anthracene;433
Anthra[1,2-a]naphthacene;447
Anthra[1,2-b]phenanthrene;299
Anthra[1,9,8-abcd]benzo[hi]coronene;615
Anthra[2,1,9,8,7-defghi]benzo[op]pentacene;557
Anthra[2,1,9,8,7-defghi]benzo[st]pentacene;550
Anthra[2,1,9,8,7-defghi]benzo[uv]pentacene;552
Anthra[2,1,9,8-defgh]benzo[rst]pentaphene;541
Anthra[2,1,9,8-defgh]pentaphene;399
Anthra[2,1,9,8-opqra]naphthacene;269
Anthra[2,1,9,8-stuva]pentacene;425
Anthra[2,1,9-qra]naphthacene;364
Anthra[2,1-a]aceanthrylene;323
Anthra[2,1-a]naphthacene;517
Anthra[2,3-a]coronene;640
Anthra[2,3-a]naphthacene;497
Anthra[3,2,1,9,8-rstuva]benzo[ij]pentaphene;547
Anthra[3,2,1,9-pqra]benzo[cd]perylene;535
Anthra[7,8,9,1,2,3-rstuvwx]hexaphene;559
Anthra[8,9,1,2-cdefg]benzo[a]naphthacene;402
Anthra[8,9,1,2-lmnop]benzo[a]naphthacene;423
Anthra[9,1,2-abc]coronene;579
Anthra[9,1,2-bcd]perylene;388
Anthra[9,1,2-cde]benzo[rst]pentaphene;600
Anthra[9,1-bc]fluorene;177
Anthracene;15
Anthraceno[2,1-a]anthracene;305
1,2-Benzanthracene;38
2,3-Benzanthracene;40
1,2-Benzanthrene;38
1H-meso-Benzanthrene;32
Benzanthrene;32
Benzanthreno-Bz-1,Bz-2:2,3-naphthalene;253
Benzene;1
9,10[1',2']-Benzenoanthracene, 9,10-dihydro;76
7,8-Benzfluoranthene;70
2,3-Benzidene;11
Benzine;1
Benzo[1,2-a,3,4-a',5,6-a'']triacenaphthylene;633
Benzo[1,2-a,4,5-a']diacenaphthylene;257
Benzo[2,1-a:3,4-a']dianthracene;430
Benzo[3,4]phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene;534
Benzo[6,7]phenanthro[4,3-b]chrysene;606
Benzo[a]anthanthrene;268
Benzo[a]coronene;315
1H-Benzo[a]cyclopent[h]anthracene;81
9H-Benzo[a]cyclopent[i]anthracene;82
Benzo[a]cyclopenta[de]naphthacene;194
Benzo[a]cyclopenta[fg]naphthacene;199
Benzo[a]cyclopenta[hi]naphthacene;207
Benzo[a]cyclopenta[mn]naphthacene;198
Benzo[a]cyclopenta[op]naphthacene;203
Benzo[a]fluoranthene;68
11H-Benzo[a]fluorene;30
Benzo[a]fluorene;30
Benzo[a]heptacene;610
Benzo[a]hexacene;513
Benzo[a]hexaphene;471
Benzo[a]naphth[2,1-j]anthracene;279
Benzo[a]naphthacene;129
Benzo[a]naphtho[1,2,3,4-ghi]perylene;396
Benzo[a]naphtho[1,2-c]naphthacene;468
Benzo[a]naphtho[1,2-h]anthracene;291
Benzo[a]naphtho[1,2-j]naphthacene;488
Benzo[a]naphtho[1,2-l]naphthacene;500
Benzo[a]naphtho[2,1,8-cde]perylene;380
Benzo[a]naphtho[2,1,8-hij]naphthacene;362
Benzo[a]naphtho[2,1,8-lmn]perylene;386
Benzo[a]naphtho[2,1-h]pyrene;368
Benzo[a]naphtho[2,1-j]naphthacene;514
Benzo[a]naphtho[2,1-l]naphthacene;456
Benzo[a]naphtho[7,8,1,2,3-pqrst]pentaphene;407
Benzo[a]naphtho[8,1,2-cde]naphthacene;341
Benzo[a]naphtho[8,1,2-klm]perylene;389
Benzo[a]naphtho[8,1,2-lmn]naphthacene;360
Benzo[a]pentacene;301
Benzo[a]pentaphene;289
Benzo[a]perylene;233
Benzo[a]phenanthrene;39
Benzo[a]picene;292
Benzo[a]pyranthrene;588
Benzo[de]cyclopent[a]anthracene;54
Benzo[de]cyclopent[b]anthracene;56
Benzo[de]naphtho[2,1,8,7-qrst]pentacene;415
Benzo[de]naphtho[3,2,1-mn]naphthacene;331
Benzo[de]naphtho[8,1,2,3-stuv]picene;403
7H-Benzo[de]pentacene;254
Benzo[def]chrysene;74
Benzo[def]cyclopenta[hi]chrysene;112
4H-Benzo[def]cyclopenta[mno]chrysene;79
Benzo[def]cyclopenta[qr]chrysene;109
Benzo[def]fluorene;17
Benzo[def]phenanthrene;21
Benzo[def]pyranthrene;560
Benzo[e]anthanthrene;264
Benzo[e]cyclopenta[jk]pyrene;93
Benzo[e]cyclopenta[jk]pyrene;107
Benzo[e]fluoranthene;69
Benzo[e]phenanthro[1,10,9,8-opqra]perylene;533
Benzo[e]phenanthro[2,3,4,5-pqrab]perylene;525
Benzo[e]pyrene;72
Benzo[ef]phenaleno[9,1,2-abc]coronene;617
Benzo[f]pentahelicene;280
Benzo[f]picene;287
Benzo[fg]cyclopent[a]anthracene;55
Benzo[fg]naphtho[1,2,3-op]naphthacene;326
Benzo[g]chrysene;124
8H-Benzo[g]cyclopenta[mno]chysene;138
Benzo[g]naphtho[2,1-b]chrysene;460
Benzo[g]naphtho[8,1,2-abc]coronene;576
Benzo[ghi]cyclopenta[cd]perylene;155
1H-Benzo[ghi]cyclopenta[pqr]perylene;134
Benzo[ghi]fluoranthene;35
Benzo[ghi]naphtho[2,1-a]perylene;400
Benzo[ghi]naphtho[2,1-b]perylene;404
Benzo[ghi]perylene;120
Benzo[h]naphtho[1,2,3,4-rst]pentaphene;564
Benzo[h]naphtho[7,8,1,2,3-pqrst]pentaphene;384
Benzo[h]pentaphene;281
Benzo[h]phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene;529
4H-Benzo[hi]chrysene;105
7H-Benzo[hi]chrysene;106
Benzo[i]pentahelicene;275
Benzo[ij]naphtho[2,1,8,7-defg]pentaphene;413
Benzo[j]benzo[2,1-a:3,4-a']dianthracene;604
Benzo[j]fluoranthene;70
Benzo[j]naphtho[8,1,2-abc]coronene;584
Benzo[jk]fluorene;18
Benzo[k]fluoranthene;71
Benzo[kl]naphtho[2,1,8,7-defg]pentaphene;412
Benzo[l]cyclopenta[cd]pyrene;107
Benzo[l]fluoranthene;70
Benzo[l]naphtho[1,2-b]chrysene;494
Benzo[l]naphtho[2,1-b]chrysene;496
Benzo[l]phenanthrene;36
Benzofluoranthene;35
1,2-Benzofluorene;30
2,3-Benzofluorene;31
3,4-Benzofluorene;29
Benzol;1
1H-Benzonaphthene;13
1,12-Benzoperylene;120
1,2-Benzoperylene;233
2,3-Benzoperylene;238
1,2-Benzophenanthrene;39
2,3-Benzophenanthrene;38
3,4-Benzophenanthrene;37
9,10-Benzophenanthrene;36
2,3-Benzopicene;302
3,4-Benzopyrene;74
6,7-Benzopyrene;74
3,4-Benzotetraphene;131
1,2-Benzperylene;233
1,2-Benzpyrene;74
4,5-Benzpyrene;74
2,3-Benztriphenylene;123
2,3:1',8'-Binaphthylene;71
3,4-(o,o'-Biphenylene)cyclopentadiene;23
3,4-(o,o'-Biphenylene)fluorene;248
o-Biphenylenemethane;11
Biphenylenephenanthrene;272
o-Biphenylmethane;11
Bisanthrene;313
Ceranthrene;99
homeo-Cerodianthrene;340
Cholanthrene;75
Cholanthrylene;64
Chrysene;39
Chryseno[2,1-b]picene;659
Chrysofluorene;30
Corannulene;53
Coronene;159
1,2-Cyclo-” 1',3 '-pentadienophenanthrene;27
1,2-Cyclo-” 1',4 '-pentadienophenanthrene;26
Cyclohexatriene;1
1H-Cyclopent[a]anthracene;25
1H-Cyclopent[b]anthracene;28
Cyclopent[b]indeno[4,5-g]phenanthrene;160
Cyclopent[b]indeno[5,6-g]phenanthrene;161
Cyclopent[i]indeno[5,6-a]anthracene;164
15H-Cyclopenta[a]phenanthrene;27
17H-Cyclopenta[a]phenanthrene;26
1H-Cyclopenta[a]pyrene;42
11H-Cyclopenta[a]triphenylene;80
8H-Cyclopenta[b]phenanthrene;24
Cyclopenta[cd]perylene;110
Cyclopenta[cd]pyrene;33
Cyclopenta[de]anthracene;20
Cyclopenta[de]naphthacene;66
13H-Dibenzo[a,c]fluorene;84
Dibenzo[a,c]naphthacene;282
Dibenzo[a,c]pentacene;467
Dibenzo[a,c]pentaphene;465
Dibenzo[a,c]picene;484
Dibenzo[a,c]tetraphene;286
Dibenzo[a,c]triphenylene;272
Dibenzo[a,cd]naphtho[8,1,2,3-fghi]perylene;524
Dibenzo[a,d]coronene;528
13H-Dibenzo[a,de]naphth[2,3-h]anthracene;369
4H-Dibenzo[a,de]naphthacene;253
4H-Dibenzo[a,de]pentacene;370
Dibenzo[a,e]fluoranthene;214
Dibenzo[a,e]pyrene;234
Dibenzo[a,f]fluoranthene;216
Dibenzo[a,f]perylene;328
Dibenzo[a,f]picene;446
Dibenzo[a,f]tetraphene;273
Dibenzo[a,g]coronene;543
13H-Dibenzo[a,g]fluorene;90
Dibenzo[a,ghi]naphtho[2,1,8-cde]perylene;523
Dibenzo[a,ghi]naphtho[2,1,8-lmn]perylene;527
Dibenzo[a,ghi]naphtho[8,1,2-klm]perylene;536
Dibenzo[a,ghi]perylene;262
13H-Dibenzo[a,h]fluorene;97
Dibenzo[a,h]pentaphene;438
Dibenzo[a,h]phenanthrene;131
Dibenzo[a,h]pyrene;244
13H-Dibenzo[a,i]fluorene;92
Dibenzo[a,i]pyrene;243
Dibenzo[a,j]coronene;551
Dibenzo[a,j]fluoranthene;221
Dibenzo[a,j]naphthacene;300
Dibenzo[a,j]perylene;337
Dibenzo[a,j]plcene;454
Dibenzo[a,j]tetracene;300
Dibenzo[a,jk]fluorene;70
Dibenzo[a,k]fluoranthene;217
Dibenzo[a,k]tetraphene;291
Dibenzo[a,l]fluoranthene;211
Dibenzo[a,l]naphthacene;297
Dibenzo[a,l]pentacene;509
Dibenzo[a,l]pyrene;232
Dibenzo[a,m]pentaphene;486
Dibenzo[a,m]tetraphene;279
Dibenzo[a,n]pentacene;501
Dibenzo[a,n]perylene;330
Dibenzo[a,n]picene;490
Dibenzo[a,o]pentaphene;451
Dibenzo[a,o]perylene;324
Dibenzo[a,o]picene;463
Dibenzo[a,p]chrysene;288
Dibenzo[a,pqr]picene;355
Dibenzo[a,rst]naphtho[8,1,2-cde]pentaphene;597
Dibenzo[c,s]picene;485
Dibenzo[cd,fg]anthanthrene;316
Dibenzo[cd,hi]anthanthrene;317
Dibenzo[cd,jk]pyrene;121
Dibenzo[cd,k]naphtho[3,2,1,8-pqra]perylene;538
Dibenzo[cd,lm]anthanthrene;320
Dibenzo[cd,lm]perylene;270
Dibenzo[cd,n]naphtho[3,2,1,8-pqra]perylene;542
Dibenzo[de,ij]naphtho[3,2,1,8,7-rstuv]pentaphene;548
Dibenzo[de,ij]naphtho[7,8,1,2,3-pqrst]pentaphene;546
Dibenzo[de,ij]pentaphene;350
Dibenzo[de,kl]pentaphene;358
Dibenzo[de,mn]naphthacene;240
Dibenzo[de,mn]naphtho[2,1,8-qra]naphthacene;390
Dibenzo[de,op]naphthacene;238
Dibenzo[de,qr]naphthacene;235
Dibenzo[de,qr]pentacene;357
Dibenzo[de,qr]tetracene;235
Dibenzo[de,st]pentacene;353
Dibenzo[de,uv]pentacene;345
Dibenzo[de,uv]pentaphene;347
Dibenzo[def,mno]chrysene;121
Dibenzo[def,mno]cyclopenta[hi]chrysene;156
Dibenzo[def,p]chrysene;232
Dibenzo[e,ghi]perylene;266
Dibenzo[e,l]pyrene;237
Dibenzo[ef,hi]naphtho[8,1,2-abc]coronene;620
Dibenzo[ef,no]naphtho[8,1,2-abc]coronene;614
Dibenzo[f,j]naphtho[1,2,3,4-pqr]picene;647
Dibenzo[f,j]picene;461
Dibenzo[f,m]tetraphene;283
Dibenzo[f,pqr]picene;342
Dibenzo[f,s]picene;443
Dibenzo[fg,ij]naphtho[2,1,8-uva]pentaphene;592
Dibenzo[fg,ij]naphtho[7,8,1,2,3-pqrst]pentaphene;540
Dibenzo[fg,ij]pentaphene;352
Dibenzo[fg,ij]phenanthro[2,1,10,9,8,7-pqrstuv]pentaphene;580
Dibenzo[fg,ij]phenanthro[9,10,1,2,3-pqrst]pentaphene;634
Dibenzo[fg,op]anthanthrene;313
Dibenzo[fg,op]naphthacene;237
Dibenzo[fg,qr]pentacene;356
Dibenzo[fg,st]hexacene;569
Dibenzo[fgh,pqr]trinaphthylene;590
Dibenzo[g,p]chrysene;272
Dibenzo[ghi,lm]naphtho[1,8-ab]perylene;537
Dibenzo[ghi,mno]fluoranthene;53
Dibenzo[ghi,n]naphtho[8,1,2-bcd]perylene;544
Dibenzo[ghi,pqr]perylene;159
Dibenzo[h,rst]pentaphene;336
Dibenzo[hi,kl]naphtho[8,1,2-abc]coronene;624
Dibenzo[hi,qr]anthanthrene;318
Dibenzo[ij,rst]naphtho[2,1,8,7-defg]pentaphene;554
Dibenzo[ij,rst]phenanthro[9,10,1,2-defg]pentaphene;641
Dibenzo[ijk,tuv]peropyrene;376
3,4-Dihydrocyclopenta[cd]pyrene;33
10,15-Dihydrotribenzo[a,f,k]trindene;310
Diindeno[1,2,3-cd:1',d',3'-jk]pyrene;311
Diindeno[1,2,3-de,1',2',3'-kl]anthracene;255
Dinaphth[1,2-a:1',2'-h]anthracene;475
Dinaphth[1,2-a:2',1'-j]anthracene;437
Dinaphth[2,3-a,2',3'-c]anthracene;432
peri-Dinaphthalene;73
lin-Dinaphthanthracene;133
Dinaphtho[1,2,3-cd,1',2',3'-lm]perylene;599
Dinaphtho[1,2,3-cd,3',2',1'-lm]perylene;600
Dinaphtho[1,2,3-fg:1',2',3'-qr]pentacene;651
Dinaphtho[1,2,3-fg:3',2',1'-qr]pentacene;648
Dinaphtho[1,2-b,2',1'-n]perylene;649
Dinaphtho[1,2-b:1',2'-k]chrysene;611
Dinaphtho[1,8-ab:8',1',2',3'-fghi]perylene;526
Dinaphtho[1,8-bc:1',8'-mn]picene;653
Dinaphtho[2,1,8,7-defg:2',1',8',7'-ijkl]pentaphene;555
Dinaphtho[2,1,8,7-defg:2',1',8',7'-opqr]pentacene;558
Dinaphtho[2,1,8,7-defg:2',1',8',7'-qrst]pentacene;553
Dinaphtho[2,1,8-cde,2',1',8'-lmn]perylene;558
Dinaphtho[2,1,8-fgh:3',2',1',8',7'-rstuv]pentaphene;532
Dinaphtho[2,1,8-fgh:7',8',1',2',3'-pqrst]pentaphene;530
Dinaphtho[2,1,8-jkl:2',1',8'-uva]pentacene;601
Dinaphtho[2,1-a:1',2'-l]naphthacene;607
Dinaphtho[2,1-a:2',1'-j]naphthacene;609
Dinaphtho[2,1-c 1',2'-g]phenanthrene;431
Dinaphtho[2,3-c:2',3'-m]pentaphene;658
Dinaphtho[3,2,1-fg:1',2',3'-ij]pentaphene;650
Dinaphtho[3,2,1-fg:3',2',1'-qr]pentacene;645
Dinaphtho[8,1,2-abc:2',1',8'-efg]coronene;619
Dinaphtho[8,1,2-abc:2',1',8'-hij]coronene;630
Dinaphtho[8,1,2-abc:2',1',8'-klm]coronene;627
Dinaphtho[8,1,2-abc:2',1',8'-nop]coronene;613
Dinaphtho[8,1,2-abc:8',1',2'-ghi]coronene;623
Dinaphtho[8,1,2-abc:8',1',2'-jkl]coronene;631
Dinaphtho[8,1,2-cde:7',8',1',2',3'-pqrst]pentaphene;562
Dinaphtho[8,1,2-lmn:2',1',8'-qra]naphthacene;424
±,±'-Dinaphthofluorene;92
Diphenanthro[3,4-c:4',3'-g]phenanthrene;656
Diphenylenemethane;11
9,10-Diphenylenephenanthrene;272
2,3,3',2'-Dipyrenylene;558
1,8-Ethylenenaphthalene;8
Fluoranthene;18
Fluorantheno[8,9-b]triphenylene;563
9H-Fluorene;11
Fluorene;11
Fluoreno[2,1-a]fluorene;171
Fluoreno[2,3-a]fluorene;169
Fluoreno[3,2,1,9-defg]chrysene;258
Fluoreno[3,2-b]fluorene;173
Fluoreno[3,4-b]fluorene;167
Fluoreno[4,3,2-de]anthracene;177
Indeno[7,1-ab]naphthacene;208
Indeno[7,1-ab]triphenylene;181
Indeno[7,1-bc]chrysene;201
Indeno-2',3'-3,4-pyrene;137
Isochrysene;36
Isochrysofluorene;29
Isonaphthofluorene;31
1',9-Methylene-1,2,5,6-dibenzanthracene;146
1',9-Methylene-1,2-benzanthracene;47
2,2'-Methylenebiphenyl;11
4,5-Methylenephenanthrene;17
Naphth[1',2':5,6]indeno[1,2,3-cd]pyrene;377
Naphth[1,2-a]aceanthrylene;211
Naphth[1,2-a]acephenanthrylene;180
Naphth[1,2-a]anthracene;125
Naphth[1,2-d]acenaphthylene;62
Naphth[1,2-e]acephenanthrylene;227
Naphth[1,2-j]aceanthrylene;189
Naphth[1,2-k]acephenanthrylene;200
Naphth[2',1':4,5]indeno[1,2,3-cd]pyrene;378
Naphth[2,1-a]aceanthrylene;221
Naphth[2,1-a]anthracene;131
Naphth[2,1-d]acenaphthylene;64
Naphth[2,1-e]aceanthrylene;185
Naphth[2,1-e]acephenanthrylene;220
Naphth[2,1-k]acephenanthrylene;196
Naphth[2,1-l]aceanthrylene;186
Naphth[2,1-l]acephenanthrylene;184
Naphth[2,3-a]aceanthrylene;217
Naphth[2,3-e]acenaphthylene;65
Naphth[2,3-e]acephenanthrylene;225
Naphth[2,3-l]acephenanthrylene;191
5H-Naphth[3,2,1-de]anthrene;99
1,9,8-(diperi)-Naphth-2,9-dihydroanthracene;49
2',1'-Naphtha-1,2-fluorene;95
1',2'-Naphtha-2,3-fluorene;94
1',3'-Naphtha-3,4-pyrene;152
Naphthacene;40
Naphthaceno[2,1,12,11-opqra]naphthacene;426
Naphthaceno[4,5,6,7,8-defghij]naphthacene;320
peri-Naphthacenonaphthacene;320
Naphthalene;4
1,2-(1,8-Naphthalenediyl)benzene;18
Naphthalin;4
Naphthanthracene;38
Naphthanthracene;131
1,8,9-Naphthanthrene;51
13H-meso-±-Naphthanthrene;101
8H-meso-±-Naphthanthrene;100
lin-Naphthanthrene;133
Naphthanthrene;50
1H-±-Naphthindene;10
1H-2-Naphthindene;12
3H-±-Naphthindene;9
Naphtho[2,1-c]tetraphene;296
Naphtho[2,1-j]fluoranthene;230
Naphtho[2',3':2,3]fluoranthene;228
Naphtho[2,3-a]coronene;549
Naphtho[2,3-a]fluoranthene;218
13H-Naphtho[2,3-a]fluorene;93
Naphtho[2,3-a]pentaphene;458
Naphtho[2,3-a]picene;457
Naphtho[2,3-a]pyrene;241
Naphtho[2,3-a]tetraphene;277
Naphtho[2,3-b]fluoranthene;228
Naphtho[2,3-b]picene;507
Naphtho[2,3-b]pyrene;241
Naphtho[2,3-c]chrysene;285
8H-Naphtho[2,3-c]fluorene;87
Naphtho[2,3-c]pentaphene;510
Naphtho[2,3-e]pyrene;235
Naphtho[2,3-g]chrysene;273
Naphtho[2,3-h]pentaphene;432
Naphtho[2,3-j]fluoranthene;226
Naphtho[2,3-k]fluoranthene;231
Naphtho[2,3-s]picene;435
Naphtho[2'.1',1.2]tetracene;303
Naphtho[2'.3',1.2]pyrene;241
Naphtho[3,2,1,8,7-defgh]pyranthrene;586
Naphtho[3,2,1,8,7-vwxyz]hexaphene;417
Naphtho[3,2,1-jk]fluorene;68
Naphtho[3',4':3,4]pyrene;242
Naphtho[4,5,6-abc]aceanthrylene;117
Naphtho[5,4,3-abc]coronene;375
Naphtho[7,8,1,2,3-pqrst]pentaphene;268
Naphtho[7,8,1,2,3-tuvwx]hexaphene;421
Naphtho[8,1,2-abc]coronene;375
Naphtho[8,1,2-bcd]perylene;267
Naphtho[8,1,2-cde]naphthacene;241
Naphtho[8,1,2-cde]pentaphene;365
Naphtho[8,1,2-efg]anthanthrene;314
Naphtho[8,1,2-ghi]chrysene;236
Naphtho[b',b]chrysene;303
1',2'-Naphtho-1,2-fluoranthene;215
Naphtho-2',3',1,2-anthracene;128
Naphtho-2',3',1,2-phenanthrene;131
Naphtho-2',3',2,3-phenanthrene;129
Naphtho-2',3',3,4-phenanthrene;125
Naphthobenzanthrene;106
2,3-2-Naphthofluorene;98
lin-Naphthofluorene;98
Nonacene;660
Octacene;612
Ovalene;522
Paranaphthalene;15
Pentacene;133
peri-Pentacenopentacene;587
Pentalene;2
1,10-(o-Phenylene)pyrene;113
2,3-(o-Phenylene)pyrene;113
1,9-Phenyleneanthracene;68
10,11-Phenylenenaphthacene;216
5,6-o-Phenylenenaphthacene;216
2,3-Phenylenepyrene;113
o-Phenylenepyrene;113
Picene;132
Pyranthrene;418
Pyren;21
Pyrene;21
peri-Pyrene-1,10(CH2)-indene;49
Pyrenindene;52
Pyreno[1,10,9-abc]coronene;626
Pyreno[10,1,2-abc]coronene;628
Pyreno[2,1-b]picene;654
Pyreno[5,4,3,2,1-pqrst]pentaphene;531
Rubicene;255
Terrylene;422
Tetrabenz[a,c,h,j]anthracene;441
Tetrabenzo[a,c,hi,mn]naphthacene;566
Tetrabenzo[a,c,hi,qr]pentacene;652
Tetrabenzo[a,c,j,l]naphthacene;605
Tetrabenzo[a,c,l,n]pentacene;657
Tetrabenzo[a,cd,f,lm]perylene;589
Tetrabenzo[a,cd,j,lm]perylene;591
Tetrabenzo[a,e,j,o]perylene;644
Tetrabenzo[a,f,j,o]perylene;646
